Place id,Governorate,District,Location name,Arabic name,Latitude,Longitude,OCHA admin 1,OCHA admin 2,OCHA PCode,IDPs families,IDPs individuals,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salah al-Din,Sulaymaniyah,Thi-Qar,Wassit,Camp,Host families,Hotel/Motel,Informal settlements,Other shelter type,Religious building,Rented houses,School building,Unfinished/Abandoned building,Unknown shelter type,Pre-June14 Wave,June-July14 Wave,August14 Wave,Post September14 Wave,Post April15 Wave
23792,Anbar,Al-Ka'im,Al Angaa,?? ???????,34.383198,41.052623,IQ-G01,IQ-D005,IQ-P00353,34,204,34,,,,,,,,,,,,,,,,,,,13,,,,,21,,,,34,,,,
23647,Anbar,Al-Ka'im,Al Aubaidi Al Qadima,??????? ??????? ,34.421411,41.202051,IQ-G01,IQ-D005,IQ-P00354,161,966,161,,,,,,,,,,,,,,,,,,,35,,17,,,67,14,28,,161,,,,
23791,Anbar,Al-Ka'im,Al Nahda Al-Sharqiyah,?? ?????? ???????,34.372736,41.057071,IQ-G01,IQ-D005,IQ-P00358,60,360,60,,,,,,,,,,,,,,,,,,,24,,,,,36,,,,55,,,5,
23795,Anbar,Al-Ka'im,Al Rumanah Al Gharbiyah,?? ??????? ???????,34.416826,41.04717,IQ-G01,IQ-D005,IQ-P00361,67,402,67,,,,,,,,,,,,,,,,,,,30,,,,,37,,,,59,,,8,
23796,Anbar,Al-Ka'im,Al Rumanah Al Sharqiyah,?? ??????? ???????,34.398681,41.098951,IQ-G01,IQ-D005,IQ-P00362,79,474,79,,,,,,,,,,,,,,,,,,,34,,,,,32,,13,,72,,,7,
90,Anbar,Al-Ka'im,Al Ubaydi-1,??????? - ????? ????,34.433344,41.225392,IQ-G01,IQ-D005,IQ-P00349,166,996,166,,,,,,,,,,,,,,,,,,,83,,12,,,71,,,,154,,,12,
23797,Anbar,Al-Ka'im,Al Ubaydi-2,????? ??????? ,34.433783,41.234615,IQ-G01,IQ-D005,IQ-P00350,210,"1,260",210,,,,,,,,,,,,,,,,,,,112,,2,,,85,,11,,210,,,,
164,Anbar,Al-Ka'im,Al Ubaydi-3,??????? - ????? ?????,34.437885,41.232835,IQ-G01,IQ-D005,IQ-P00351,164,984,164,,,,,,,,,,,,,,,,,,,41,,23,,,70,30,,,164,,,,
23798,Anbar,Al-Ka'im,Al Ubaydi-Smnt,?????? ?????? ????? ???? ??????,34.261988,41.221688,IQ-G01,IQ-D005,IQ-P00352,136,816,136,,,,,,,,,,,,,,,,,,,63,,,,,73,,,,136,,,,
21477,Anbar,Al-Ka'im,Al Zalla,???? ?????,34.421179,41.455566,IQ-G01,IQ-D005,IQ-P00365,65,390,65,,,,,,,,,,,,,,,,,,,46,,8,,,,,11,,65,,,,
106,Anbar,Al-Ka'im,Al-Amen,?? ??????,34.382264,41.005731,IQ-G01,IQ-D005,IQ-P00367,105,630,105,,,,,,,,,,,,,,,,,,,38,,,,,51,,16,,,95,,10,
273,Anbar,Al-Ka'im,Albu Hardan,???? ?????????,34.392953,41.078284,IQ-G01,IQ-D005,IQ-P00368,5,30,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,
275,Anbar,Al-Ka'im,Albu Ubaid,???? ????????,34.411641,41.050339,IQ-G01,IQ-D005,IQ-P00369,27,162,27,,,,,,,,,,,,,,,,,,,16,,,,,11,,,,27,,,,
274,Anbar,Al-Ka'im,Al-Rabet,???? ?????,34.423677,41.036415,IQ-G01,IQ-D005,IQ-P00370,37,222,37,,,,,,,,,,,,,,,,,,,11,,,,,26,,,,,37,,,
271,Anbar,Al-Ka'im,Door Al-Sikak,?? ?????,34.388794,40.973572,IQ-G01,IQ-D005,IQ-P00374,72,432,72,,,,,,,,,,,,,,,,,,,32,,,,,40,,,,,62,,10,
272,Anbar,Al-Ka'im,Hay 12 Rabee Alawal,?? 12???? ?????,34.392991,40.981134,IQ-G01,IQ-D005,IQ-P00375,119,714,109,,10,,,,,,,,,,,,,,,,,81,,,,,38,,,,103,10,,6,
23793,Anbar,Al-Ka'im,Hay Al Askary,?? ???????,34.38469,41.031804,IQ-G01,IQ-D005,IQ-P00376,33,198,33,,,,,,,,,,,,,,,,,,,16,,,,,17,,,,28,,,5,
23788,Anbar,Al-Ka'im,Hay Al Rashid,?? ??????,34.392969,40.984309,IQ-G01,IQ-D005,IQ-P00377,85,510,85,,,,,,,,,,,,,,,,,,,47,,,,,38,,,,77,,,8,
23787,Anbar,Al-Ka'im,Hay Al Sham,?? ????? ( ??????? ),34.394981,40.988816,IQ-G01,IQ-D005,IQ-P00378,77,462,77,,,,,,,,,,,,,,,,,,,52,,,,,25,,,,77,,,,
23790,Anbar,Al-Ka'im,Hay Al Shuhadaa,?? ???????,34.374748,41.062559,IQ-G01,IQ-D005,IQ-P00379,106,636,106,,,,,,,,,,,,,,,,,,,47,,,,,59,,,,,99,,7,
23794,Anbar,Al-Ka'im,Hay Al Sinay,?? ???????,34.380503,41.035056,IQ-G01,IQ-D005,IQ-P00380,74,444,74,,,,,,,,,,,,,,,,,,,29,,,,,45,,,,69,,,5,
276,Anbar,Al-Ka'im,Hay Al-Andalus,?? ???????,34.39097,40.9897,IQ-G01,IQ-D005,IQ-P00382,153,918,153,,,,,,,,,,,,,,,,,,,102,,,,,51,,,,,100,,53,
286,Anbar,Al-Ka'im,Hay Al-Athar,?? ??????,34.377071,41.066633,IQ-G01,IQ-D005,IQ-P00383,55,330,55,,,,,,,,,,,,,,,,,,,26,,,,,29,,,,50,,,5,
279,Anbar,Al-Ka'im,Hay Al-Farooq,?? ???????,34.396212,41.002968,IQ-G01,IQ-D005,IQ-P00384,61,366,61,,,,,,,,,,,,,,,,,,,29,,,,,32,,,,54,,,7,
277,Anbar,Al-Ka'im,Hay Al-Maamon,?? ???????,34.392414,41.004368,IQ-G01,IQ-D005,IQ-P00387,111,666,111,,,,,,,,,,,,,,,,,,,50,,,,,61,,,,86,,,25,
287,Anbar,Al-Ka'im,Hay Al-Makarim,?? ???????,34.383073,41.028504,IQ-G01,IQ-D005,IQ-P00388,56,336,56,,,,,,,,,,,,,,,,,,,31,,,,,25,,,,56,,,,
268,Anbar,Al-Ka'im,Hay Al-Salam,?? ??????,34.392349,40.996698,IQ-G01,IQ-D005,IQ-P00390,82,492,82,,,,,,,,,,,,,,,,,,,53,,5,,,24,,,,74,,,8,
269,Anbar,Al-Ka'im,Hay Al-Yarmook,?? ???????,34.39801,40.992723,IQ-G01,IQ-D005,IQ-P00391,96,576,96,,,,,,,,,,,,,,,,,,,53,,,,,43,,,,88,,,8,
66,Anbar,Al-Ka'im,Sadah,???? ????,34.363896,41.097367,IQ-G01,IQ-D005,IQ-P00398,62,372,62,,,,,,,,,,,,,,,,,,,20,,,,,20,,22,,62,,,,
156,Anbar,Al-Ka'im,Wazeeriya,?? ????????,34.37709,41.046541,IQ-G01,IQ-D005,IQ-P00401,60,360,60,,,,,,,,,,,,,,,,,,,27,,,,,33,,,,60,,,,
165,Anbar,Al-Rutba,Al Askaree,?? ???????,33.038952,40.277075,IQ-G01,IQ-D007,IQ-P00503,361,"2,166",361,,,,,,,,,,,,,,,,,,,221,,25,,,104,,11,,260,,,101,
150,Anbar,Al-Rutba,Al Haara,?? ??????,33.038459,40.293291,IQ-G01,IQ-D007,IQ-P00504,368,"2,208",368,,,,,,,,,,,,,,,,,,,155,,13,,12,182,,6,,331,,,37,
24744,Anbar,Al-Rutba,Al Habaria,????????,32.165701,42.122835,IQ-G01,IQ-D007,,211,"1,266",211,,,,,,,,,,,,,,,,,,,166,,,,12,,18,15,,,,,211,
24745,Anbar,Al-Rutba,Al kasra,??????,32.273109,42.050932,IQ-G01,IQ-D007,,154,924,154,,,,,,,,,,,,,,,,,,,122,,,,10,,22,,,,,,154,
61,Anbar,Al-Rutba,Al Nakheeb,??????,32.042733,42.252977,IQ-G01,IQ-D007,IQ-P00523,"1,046","6,276","1,046",,,,,,,,,,,,,,,,,,,693,,122,,28,,60,143,,285,,,761,
231,Anbar,Al-Rutba,Al Wadi,?? ??????,33.036414,40.284369,IQ-G01,IQ-D007,IQ-P00505,271,"1,626",271,,,,,,,,,,,,,,,,,,,108,,35,,,109,8,11,,265,,,6,
23935,Anbar,Al-Rutba,Al-Daraemah Village,???? ????????,33.038586,40.285558,IQ-G01,IQ-D007,IQ-P00509,312,"1,872",312,,,,,,,,,,,,,,,,,,,52,,8,,5,81,,166,,312,,,,
167,Anbar,Al-Rutba,Antesar,?? ????????,33.041954,40.27598,IQ-G01,IQ-D007,IQ-P00513,417,"2,502",397,,20,,,,,,,,,,,,,,,,,72,,130,,3,173,28,11,,387,20,,10,
189,Anbar,Al-Rutba,Germany Company Location,???? ?????? ?????????,33.042615,40.341484,IQ-G01,IQ-D007,IQ-P00516,76,456,76,,,,,,,,,,,,,,,,,,,,,76,,,,,,,76,,,,
23888,Anbar,Al-Rutba,Gharb Al-Wadi,?? ??? ??????,33.037021,40.279731,IQ-G01,IQ-D007,IQ-P00517,455,"2,730",455,,,,,,,,,,,,,,,,,,,131,,48,,,204,12,60,,444,,,11,
24761,Anbar,Al-Rutba,Hay Abira,?? ?????,32.764845,43.38883,IQ-G01,IQ-D007,,315,"1,890",315,,,,,,,,,,,,,,,,,,,219,,,,,,44,52,,170,,,43,102
24762,Anbar,Al-Rutba,Hay Al Arben,?? ????????,32.766504,43.387747,IQ-G01,IQ-D007,,130,780,130,,,,,,,,,,,,,,,,,,,77,,,,,,36,17,,105,,,7,18
166,Anbar,Al-Rutba,Hay Al Meethagh,?? ???????,33.039801,40.282946,IQ-G01,IQ-D007,IQ-P00521,458,"2,748",458,,,,,,,,,,,,,,,,,,,152,,69,,40,152,,45,,450,,,8,
24763,Anbar,Al-Rutba,Hay Al-Dour,?? ?????,32.764319,43.386783,IQ-G01,IQ-D007,,137,822,137,,,,,,,,,,,,,,,,,,,92,,,,,,45,,,100,,,7,30
